"year","Ts","dOsea","dTsVscales"
-3940000,4.369926,2.97,4.15739648375555
-3935000,4.886246,2.83,5.16647365232517
-3930000,4.664294,2.89,4.73269867611204
-3925000,4.590534,2.91,4.58854479488781
-3920000,3.968096,3.08,3.37207443803521
-3915000,4.004486,3.07,3.44319374033659
-3910000,4.738166,2.87,4.87707144609301
-3905000,4.553696,2.92,4.51654993755947
-3900000,4.553696,2.92,4.51654993755947
-3895000,4.040904,3.06,3.51436776482715
-3890000,4.664294,2.89,4.73269867611204
-3885000,4.44335,2.95,4.30089369870956
-3880000,4.223414,3.01,3.87105872011775
-3875000,3.35375,3.25,2.17141879385704
-3870000,3.677984,3.16,2.80509001843482
-3865000,3.641846,3.17,2.73446321583611
-3860000,4.664294,2.89,4.73269867611204
-3855000,4.664294,2.89,4.73269867611204
-3850000,4.6274,2.9,4.66059437440533
-3845000,4.701216,2.88,4.80485770000793
-3840000,4.775144,2.86,4.94933991436727
-3835000,4.07735,3.05,3.5855965115069
-3830000,3.317864,3.26,2.10128449096099
-3825000,3.461576,3.22,2.3821500356803
-3820000,4.296614,2.99,4.01411815755828
-3815000,4.26,3,3.94256107774342
-3810000,4.07735,3.05,3.5855965115069
-3805000,3.8954,3.1,3.23
-3800000,4.26,3,3.94256107774342
-3795000,3.497574,3.21,2.4525032273331
-3790000,4.040904,3.06,3.51436776482715
-3785000,4.369926,2.97,4.15739648375555
-3780000,4.07735,3.05,3.5855965115069
-3775000,3.968096,3.08,3.37207443803521
-3770000,3.931734,3.09,3.30100985792301
-3765000,4.664294,2.89,4.73269867611204
-3760000,4.516886,2.93,4.44460980242031
-3755000,4.333256,2.98,4.08572995956232
-3750000,3.968096,3.08,3.37207443803521
-3745000,3.5336,3.2,2.52291114117507
-3740000,4.406624,2.96,4.22911773013796
-3735000,4.516886,2.93,4.44460980242031
-3730000,4.26,3,3.94256107774342
-3725000,4.886246,2.83,5.16647365232517
-3720000,4.369926,2.97,4.15739648375555
-3715000,3.210374,3.29,1.89120991540795
-3710000,3.246176,3.28,1.96118005173644
-3705000,3.8954,3.1,3.23
-3700000,4.07735,3.05,3.5855965115069
-3695000,4.186856,3.02,3.79961108468126
-3690000,4.553696,2.92,4.51654993755947
-3685000,4.333256,2.98,4.08572995956232
-3680000,4.07735,3.05,3.5855965115069
-3675000,3.497574,3.21,2.4525032273331
-3670000,2.64135,3.45,0.779129951881145
-3665000,2.8184,3.4,1.12515008028069
-3660000,3.605736,3.18,2.66389113542658
-3655000,3.750344,3.14,2.94650779019981
-3650000,4.406624,2.96,4.22911773013796
-3645000,4.333256,2.98,4.08572995956232
-3640000,4.07735,3.05,3.5855965115069
-3635000,3.210374,3.29,1.89120991540795
-3630000,2.782934,3.41,1.05583661022241
-3625000,3.067446,3.33,1.61187659198581
-3620000,3.5336,3.2,2.52291114117507
-3615000,4.113824,3.04,3.65687998037583
-3610000,4.516886,2.93,4.44460980242031
-3605000,3.931734,3.09,3.30100985792301
-3600000,4.26,3,3.94256107774342
-3595000,4.296614,2.99,4.01411815755828
-3590000,3.71415,3.15,2.87577154322273
