"","years.BP.2000","permille"
"470","11.750.000",-40.84
"471","11.750.000",-41.04
"472","11.800.000",-41.04
"473","11.800.000",-40.41
"474","11.850.000",-40.41
"475","11.850.000",-39.95
"476","11.900.000",-39.95
"477","11.900.000",-41.22
"478","11.950.000",-41.22
"479","11.950.000",-41.38
"480","12.000.000",-41.38
"481","12.000.000",-40.63
"482","12.050.000",-40.63
"483","12.050.000",-40.39
"484","12.100.000",-40.39
"485","12.100.000",-40.76
"486","12.150.000",-40.76
"487","12.150.000",-41.37
"488","12.200.000",-41.37
"489","12.200.000",-40.97
"490","12.250.000",-40.97
"491","12.250.000",-41.06
"492","12.300.000",-41.06
"493","12.300.000",-40.54
"494","12.350.000",-40.54
"495","12.350.000",-40.82
"496","12.400.000",-40.82
"497","12.400.000",-41.67
"498","12.450.000",-41.67
"499","12.450.000",-41.11
"500","12.500.000",-41.11
"501","12.500.000",-42.21
"502","12.550.000",-42.21
"503","12.550.000",-40.86
"504","12.600.000",-40.86
"505","12.600.000",-40.18
"506","12.650.000",-40.18
"507","12.650.000",-39.53
"508","12.700.000",-39.53
"509","12.700.000",-39.03
"510","12.750.000",-39.03
"511","12.750.000",-38.76
"512","12.800.000",-38.76
"513","12.800.000",-39.38
"514","12.850.000",-39.38
"515","12.850.000",-39.88
"516","12.900.000",-39.88
"517","12.900.000",-40.07
"518","12.950.000",-40.07
"519","12.950.000",-41.07
"520","13.000.000",-41.07
"521","13.000.000",-40.05
"522","13.050.000",-40.05
"523","13.050.000",-40.2
"524","13.100.000",-40.2
"525","13.100.000",-39.07
"526","13.150.000",-39.07
"527","13.150.000",-39.19
"528","13.200.000",-39.19
"529","13.200.000",-38.57
"530","13.250.000",-38.57
"531","13.250.000",-38.44
"532","13.300.000",-38.44
"533","13.300.000",-38.61
"534","13.350.000",-38.61
"535","13.350.000",-38.01
"536","13.400.000",-38.01
"537","13.400.000",-38.52
"538","13.450.000",-38.52
"539","13.450.000",-39.25
"540","13.500.000",-39.25
"541","13.500.000",-39.77
"542","13.550.000",-39.77
"543","13.550.000",-38.74
"544","13.600.000",-38.74
"545","13.600.000",-38.25
"546","13.650.000",-38.25
"547","13.650.000",-39.08
"548","13.700.000",-39.08
"549","13.700.000",-38.38
"550","13.750.000",-38.38
"551","13.750.000",-38.08
"552","13.800.000",-38.08
"553","13.800.000",-38.39
"554","13.850.000",-38.39
"555","13.850.000",-39.46
"556","13.900.000",-39.46
"557","13.900.000",-40.11
"558","13.950.000",-40.11
"559","13.950.000",-39.71
"560","14.000.000",-39.71
"561","14.000.000",-38.25
"562","14.050.000",-38.25
"563","14.050.000",-38.14
"564","14.100.000",-38.14
"565","14.100.000",-37.89
"566","14.150.000",-37.89
"567","14.150.000",-37.59
"568","14.200.000",-37.59
"569","14.200.000",-37.21
"570","14.250.000",-37.21
"571","14.250.000",-37.17
"572","14.300.000",-37.17
"573","14.300.000",-36.95
"574","14.350.000",-36.95
"575","14.350.000",-37.29
"576","14.400.000",-37.29
"577","14.400.000",-36.26
"578","14.450.000",-36.26
"579","14.450.000",-36.25
"580","14.500.000",-36.25
"581","14.500.000",-36.4
"582","14.550.000",-36.4
"583","14.550.000",-37.47
"584","14.600.000",-37.47
"585","14.600.000",-40.06
"586","14.650.000",-40.06
"587","14.650.000",-41.75
"588","14.700.000",-41.75
"589","14.700.000",-40.58
"590","14.750.000",-40.58
"591","14.750.000",-41.6
"592","14.800.000",-41.6
"593","14.800.000",-41.13
"594","14.850.000",-41.13
"595","14.850.000",-41.56
"596","14.900.000",-41.56
"597","14.900.000",-42.31
"598","14.950.000",-42.31
"599","14.950.000",-42.03
"600","15.000.000",-42.03
"601","15.000.000",-42.06
"602","15.050.000",-42.06
"603","15.050.000",-42.01
"604","15.100.000",-42.01
"605","15.100.000",-42.23
"606","15.150.000",-42.23
"607","15.150.000",-42.55
"608","15.200.000",-42.55
"609","15.200.000",-40.78
"610","15.250.000",-40.78
"611","15.250.000",-42.38
"612","15.300.000",-42.38
"613","15.300.000",-42
"614","15.350.000",-42
"615","15.350.000",-42.55
"616","15.400.000",-42.55
"617","15.400.000",-43.48
"618","15.450.000",-43.48
"619","15.450.000",-42.76
"620","15.500.000",-42.76
"621","15.500.000",-41.94
"622","15.550.000",-41.94
"623","15.550.000",-43.63
"624","15.600.000",-43.63
"625","15.600.000",-43.29
"626","15.650.000",-43.29
"627","15.650.000",-41.41
"628","15.700.000",-41.41
"629","15.700.000",-41.92
"630","15.750.000",-41.92
"631","15.750.000",-41.69
"632","15.800.000",-41.69
"633","15.800.000",-41.88
"634","15.850.000",-41.88
"635","15.850.000",-41.53
"636","15.900.000",-41.53
"637","15.900.000",-43.56
"638","15.950.000",-43.56
"639","15.950.000",-42.18
"640","16.000.000",-42.18
"641","16.000.000",-42.41
"642","16.050.000",-42.41
"643","16.050.000",-41.45
"644","16.100.000",-41.45
"645","16.100.000",-42.01
"646","16.150.000",-42.01
"647","16.150.000",-41.61
"648","16.200.000",-41.61
"649","16.200.000",-41.68
"650","16.250.000",-41.68
"651","16.250.000",-40.8
"652","16.300.000",-40.8
"653","16.300.000",-41
"654","16.350.000",-41
"655","16.350.000",-41.82
"656","16.400.000",-41.82
"657","16.400.000",-41.36
"658","16.450.000",-41.36
"659","16.450.000",-41.17
"660","16.500.000",-41.17
"661","16.500.000",-40.44
"662","16.550.000",-40.44
"663","16.550.000",-40.31
"664","16.600.000",-40.31
"665","16.600.000",-41.9
"666","16.650.000",-41.9
"667","16.650.000",-41.28
"668","16.700.000",-41.28
"669","16.700.000",-40.42
"670","16.750.000",-40.42
"671","16.750.000",-40.42
"672","16.800.000",-40.42
"673","16.800.000",-40.45
"674","16.850.000",-40.45
"675","16.850.000",-40.99
"676","16.900.000",-40.99
"677","16.900.000",-40.76
"678","16.950.000",-40.76
"679","16.950.000",-41.02
"680","17.000.000",-41.02
"681","17.000.000",-42.02
"682","17.050.000",-42.02
"683","17.050.000",-41.14
"684","17.100.000",-41.14
